ingredient_C,ingredient_Si,ingredient_Mn,ingredient_P,ingredient_S,feLiquid_temp,feLiquid_enclose,feScrapped_enclose,feLqCons_enclose,feRawCons_enclose,steelLiquid,oxygenSupply_time,oxygen_consume,lime_append,limestone_append,dolomite_append,mineral_append,qingshao_append,steelLiq_pullTemp1,nitrogen_time,terminal_C,terminal_S,terminal_P,terminal_Mn
0.7546012269938651,0.29126213592233013,0.7142857142857143,0.4358974358974357,0.4666666666666665,0.6916666666666664,0.721649484536083,0.23448275862068968,0.6970165820187684,0.47166876839007976,0.572139303482587,0.5167999999999997,0.36744723908644117,0.3076923076923077,0.6974063400576369,0.4482758620689654,0.5744680851063829,0.7,0.5348837209302317,0.47191011235955055,0.5263157894736843,0.4333333333333334,0.4651162790697675,0.5769230769230769
0.6748466257668713,0.23300970873786409,0.375,0.5897435897435896,0.6,0.5916666666666659,0.5412371134020622,0.4648275862068965,0.6277959032659517,0.6425809163514078,0.4577114427860698,0.5567999999999997,0.3894189071986123,0.2564102564102564,0.4236311239193084,0.27586206896551724,0.2127659574468085,0.45,0.41860465116278966,0.6786516853932584,0.26315789473684215,0.5333333333333334,0.2558139534883721,0.3846153846153846
0.5889570552147236,0.34951456310679613,0.625,0.5512820512820511,0.5111111111111111,0.20833333333333304,0.5309278350515463,0.12413793103448273,0.856984292489321,0.583816729718369,0.2636815920398008,0.34399999999999986,0.17808615206707135,0.38461538461538464,0.13544668587896252,0.5517241379310344,0.5106382978723404,0.5,0.4883720930232549,0.8022471910112359,0.31578947368421056,0.8000000000000002,0.4186046511627907,0.5384615384615384
0.7361963190184047,0.0,0.5714285714285714,0.39743589743589736,0.33333333333333326,0.7374999999999998,0.7242268041237114,0.21724137931034482,0.8000739968383175,0.5919714165615808,0.4868159203980098,0.4815999999999996,0.31454177507950276,0.38461538461538464,0.5965417867435159,0.4482758620689654,0.5106382978723404,0.7,0.6201550387596892,0.5797752808988764,0.31578947368421056,0.4333333333333334,0.372093023255814,0.03846153846153846
0.613496932515337,0.4077669902912622,0.4107142857142857,0.2435897435897434,0.37777777777777766,0.6875,0.6108247422680413,0.4586206896551724,0.5408159833170769,0.49911727616645685,0.6044776119402986,0.5455999999999996,0.34547557097427006,0.3076923076923077,0.452449567723343,0.27586206896551724,0.2765957446808511,0.45,0.5658914728682163,0.3415730337078652,0.4210526315789474,0.6666666666666667,0.4651162790697675,0.5
0.4539877300613493,0.41747572815533984,0.4107142857142857,0.3589743589743588,0.19999999999999996,0.4166666666666661,0.561855670103093,0.6551724137931034,0.4108842622178872,0.5168978562421183,0.6791044776119404,0.6415999999999997,0.44405897658282734,0.641025641025641,0.43804034582132567,0.27586206896551724,0.29787234042553196,0.5499999999999999,0.6899224806201545,0.5393258426966292,0.4210526315789474,0.6000000000000001,0.4883720930232559,0.5769230769230769
0.5214723926380369,0.44660194174757284,0.4821428571428571,0.6025641025641024,0.33333333333333326,0.6124999999999998,0.6288659793814433,0.4793103448275861,0.5073492314419292,0.46885245901639383,0.6542288557213931,0.7055999999999998,0.4004047412546978,0.5128205128205128,0.3515850144092219,0.10344827586206895,0.0851063829787234,0.45,0.45736434108527035,0.7123595505617977,0.31578947368421056,0.4666666666666667,0.23255813953488375,0.46153846153846145
0.7975460122699385,0.44660194174757284,0.6607142857142858,0.4358974358974357,0.33333333333333326,0.75,0.6855670103092786,0.13103448275862067,0.7856446133665203,0.4853720050441357,0.4626865671641789,0.4608000000000001,0.2902572997976294,0.3076923076923077,0.6829971181556196,0.4482758620689654,0.6808510638297872,0.35000000000000003,0.35658914728682056,0.5797752808988764,0.4736842105263158,0.4333333333333334,0.372093023255814,0.6153846153846153
0.7546012269938651,0.47572815533980584,0.4107142857142857,0.41025641025641013,0.1777777777777777,0.7041666666666666,0.6726804123711343,0.4448275862068965,0.5381251891964616,0.47053383774695234,0.6691542288557217,0.6719999999999995,0.4775946805435096,0.43589743589743585,0.5821325648414986,0.27586206896551724,0.19148936170212766,0.45,0.550387596899224,0.4831460674157303,0.4210526315789474,0.3666666666666667,0.3953488372093024,0.46153846153846145
0.8036809815950918,0.24271844660194175,0.4821428571428571,0.487179487179487,0.5555555555555555,0.2958333333333334,0.5231958762886602,0.3758620689655172,0.7573912751000642,0.7324926439680546,0.3333333333333335,0.5279999999999998,0.4200636021971669,0.07692307692307693,0.207492795389049,0.27586206896551724,0.10638297872340424,0.45,0.5736434108527124,0.8651685393258427,0.4210526315789474,0.4,0.4186046511627907,0.46153846153846145
